Key,Text
App_Locale,"fr-CA"
App_Button_Yes,"Oui"
App_Button_No,"Non"
App_Button_Ok,"D'accord"
App_Button_Cancel,"Annuler"
App_DialogTitle_Confirmation,"Confirmation"
App_LoadingMsg,"Chargement …"
App_PrerequisiteMsg_JavaScript,"Vous devez activer JavaScript pour utiliser cette application"
App_Header_Name,"Blueprint"
App_Header_SignedInAs,"Signé en tant"

Login_Auth_CannotGetUser,"Vous ne pouvez pas obtenir l'utilisateur actuel"
Login_Auth_IncorrectRequestId,"Mauvais demande id . S'il vous plaît cliquer sur 'Retry' dans Blueprint"
Login_Auth_LoginFailed,"Échec de la connexion"
Login_Auth_SamlContinueSessionWithOriginalUser,"Pour continuer votre session, s'il vous plaît vous connecter avec le même utilisateur que la session a commencé avec."
Login_Auth_LicenseVerificationFailed,"Impossible de vérifier la licence"
Login_Auth_SessionTokenRetrievalFailed,"Vous ne pouvez pas obtenir jeton de session"
Login_Auth_LicenseNotFound_Verbose,"Aucune licence trouvé ou Blueprint utilise une licence de serveur non valide . S'il vous plaît contactez votre administrateur Blueprint"
Login_Auth_LicenseLimitReached,"La limite maximale de licence concurrente a été atteint. S'il vous plaît contactez votre administrateur Blueprint."
Login_Username,"Nom d'utilisateur"
Login_Password,"Mot de passe"
Login_ForgotPassword,"Mot de passe oublié?"
Login_ChangePasswordButton,"Changer le mot de passe"
Login_LoginButton,"S'identifier"
Login_SamlLink,"Connectez-vous pour blueprint.toronto"
Login_GoBackToLogin,"Retour à identifier"
Login_ResetPassword,"Réinitialiser le mot de passe"
Login_Retry,"Recommencez"
Login_LoginPrompt,"Connexion avec identifiant et mot de passe"
Login_ChangePassword_CurrentPassword,"Mot de passe actuel"
Login_ChangePassword_NewPassword,"Nouveau mot de passe"
Login_ChangePassword_ConfirmPassword,"Confirmer le nouveau mot de passe"
Login_BlueprintCopyRight,"Blueprint Software Systems Inc. Tous droits réservés"
Login_Version,"Version:"
Login_Session_CredentialsCannotBeEmpty,"Nom d'utilisateur et mot de passe ne peut pas être vide"
Login_Session_DuplicateSession_Verbose,"Cet utilisateur est déjà connecté à Blueprint dans un autre navigateur / session. <br><br>Voulez-vous remplacer la session précédente ?"
Login_Session_EnterCredentials,"Veuillez s'il vous plaît entrer votre nom d'utilisateur et votre mot de passe"
Login_Session_EnterUsername,"S'il vous plaît entrez votre nom d'utilisateur"
Login_Session_PasswordHasExpired_ChangePasswordPrompt,"Votre mot de passe a expiré. S'il vous plaît changer votre mot de passe ci-dessous."
Login_Session_EnterSamlCredentials_Verbose,"S'il vous plaît authentifier en utilisant vos informations d'identification d'entreprise dans la fenêtre qui a ouvert . Si vous ne voyez pas la fenêtre , s'il vous plaît vous assurer que votre bloqueur de popup est désactivé , puis cliquez sur le bouton Retry. <br><br> Vous serez automatiquement connecté après que vous êtes authentifié ."
Login_Session_CredentialsInvalid,"S'il vous plaît entrer un nom d'utilisateur correct et mot de passe"
Login_Session_AccountDisabled,"Votre compte a été désactivé. <br> S'il vous plaît contactez votre administrateur."
Login_Session_PasswordHasExpired,"Votre mot de passe a expiré."

Input_Required,"Obligatoire"
